time,ref_x,ref_y,ref_z,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mocap_x,mocap_y,mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0550,-3,-3,-3,-1.7567e-21,-9.1734e-21,-1.4671e-18,0,-4.0658e-20,-5.2855e-19,1.2081e-17,-7.896e-18,3.4368e-19,0,0,0,-4.3316e-19,-1.3188e-18,-7.0907e-17,-1.7347e-18,-4.3368e-18,-7.0256e-17,6.1957e-16,-7.6567e-16,3.9282e-17,5.4709e-16,-6.1247e-16,3.0737e-17,0,0,0,0,-1.1093e-17,1.2184e-17,-1.1316e-18,0,8.3267e-17,-5.5511e-17,6.9389e-18,-7.7242e-17,-1.1818e-16,0,0,0,0,6.1957e-16,-7.6572e-16,3.9302e-17,0,-1.6653e-16,0,-1.7577e-22,-7.5849e-22,-4.4427e-19,2.7756e-17,2.7756e-17,-1.7764e-15
0.0600,-3,-3,-3,-3.9225e-21,-1.5767e-20,-1.8228e-18,0,-8.1315e-20,-1.301e-18,1.5179e-17,-1.1724e-17,5.4009e-19,0,0,0,-8.1937e-19,-1.9096e-18,-7.0907e-17,0,-5.2042e-18,-8.9338e-17,8.0545e-16,-8.6138e-16,4.5835e-17,6.7248e-16,-7.3325e-16,3.8164e-17,0,0,0,0,-1.5579e-17,1.9082e-17,-1.9109e-18,0,2.7756e-17,-2.7756e-17,1.0408e-17,-1.1468e-16,-1.4847e-16,0,0,0,0,8.0545e-16,-8.614e-16,4.5862e-17,0,-6.6613e-16,0,-7.6144e-22,-4.8527e-21,-1.1113e-18,-2.7756e-17,-2.7756e-17,0
0.0650,-3,-3,-3,-8.0193e-21,-2.5315e-20,-2.1786e-18,0,-8.1315e-20,-1.301e-18,1.9206e-17,-1.6031e-17,7.6932e-19,0,0,0,-1.3928e-18,-2.652e-18,-7.0907e-17,0,-5.2042e-18,-8.9338e-17,8.6742e-16,-9.0923e-16,5.566e-17,7.6707e-16,-8.1857e-16,4.6675e-17,0,0,0,0,-1.5579e-17,1.9082e-17,-1.9109e-18,-8.8818e-16,0,0,1.3878e-17,-1.5679e-16,-1.8784e-16,-1.7764e-15,0,0,-1.7764e-15,8.6742e-16,-9.0927e-16,5.5674e-17,0,-6.6613e-16,0,-7.6144e-22,-4.8527e-21,-1.1113e-18,-2.7756e-17,-2.7756e-17,0
0.0700,-3,-3,-3,-1.4983e-20,-3.8575e-20,-2.5343e-18,0,-1.0842e-19,-2.1955e-18,2.3543e-17,-2.0577e-17,1.0476e-18,0,0,0,-2.1767e-18,-3.5912e-18,-7.9797e-17,0,-3.4694e-18,-9.0206e-17,8.6742e-16,-9.0923e-16,6.8752e-17,8.1578e-16,-8.6254e-16,5.7463e-17,0,0,0,0,-1.8906e-17,2.2446e-17,-2.8731e-18,0,0,-1.6653e-16,1.3878e-17,-2.0123e-16,-2.3024e-16,0,0,0,0,8.6742e-16,-9.0927e-16,6.8738e-17,0,-6.6613e-16,0,-3.9225e-21,-1.5767e-20,-1.8228e-18,0,2.7756e-17,0
0.0750,-3,-3,-3,-2.5867e-20,-5.6531e-20,-2.9341e-18,0,-1.0842e-19,-2.1955e-18,2.788e-17,-2.5124e-17,1.3908e-18,0,0,0,-3.1829e-18,-4.7424e-18,-7.9797e-17,0,-3.4694e-18,-9.0206e-17,8.6742e-16,-1.1964e-15,8.183e-17,8.4085e-16,-1.0245e-15,6.9281e-17,0,0,0,0,-1.8906e-17,2.2446e-17,-2.8731e-18,0,2.7756e-17,-8.3267e-17,1.0408e-17,-2.4567e-16,-2.7262e-16,0,0,0,0,8.6742e-16,-1.1964e-15,8.183e-17,0,-6.6613e-16,0,-3.9225e-21,-1.5767e-20,-1.8228e-18,0,2.7756e-17,0
0.0800,-3,-3,-3,-4.1781e-20,-8.0243e-20,-3.3271e-18,0,-2.7105e-19,-2.9545e-18,3.2216e-17,-3.1105e-17,1.7999e-18,0,0,0,-4.4112e-18,-6.1056e-18,-7.9797e-17,1.7347e-18,-1.7347e-18,-9.1073e-17,9.2938e-16,-1.3399e-15,9.1669e-17,8.8381e-16,-1.1775e-15,8.0177e-17,0,0,0,0,-2.0471e-17,3.0644e-17,-4.0048e-18,0,-2.7756e-17,-1.1102e-16,1.0408e-17,-3.0415e-16,-3.1501e-16,0,0,0,0,9.2938e-16,-1.3399e-15,9.1669e-17,0,-1.3878e-15,0,-1.4983e-20,-3.8575e-20,-2.5343e-18,0,-2.7756e-17,0
0.0850,-3,-3,-3,-6.3837e-20,-1.1077e-19,-3.7269e-18,0,-2.7105e-19,-2.9545e-18,3.6863e-17,-3.7805e-17,2.2582e-18,0,0,0,-5.9319e-18,-7.6807e-18,-7.9797e-17,1.7347e-18,-1.7347e-18,-9.1073e-17,8.6742e-16,-1.5313e-15,1.0148e-16,8.7585e-16,-1.3492e-15,9.0531e-17,0,0,0,0,-2.0471e-17,3.0644e-17,-4.0048e-18,0,-5.5511e-17,-5.5511e-17,6.9389e-18,-3.6963e-16,-3.604e-16,0,0,0,0,8.6742e-16,-1.5314e-15,1.0148e-16,0,-1.3878e-15,0,-1.4983e-20,-3.8575e-20,-2.5343e-18,0,-2.7756e-17,0
0.0900,-3,-3,-3,-9.3497e-20,-1.4917e-19,-4.1335e-18,5.421e-20,-3.7947e-19,-3.9031e-18,4.12e-17,-4.5462e-17,2.7656e-18,0,0,0,-7.7801e-18,-9.4825e-18,-7.9797e-17,3.4694e-18,-6.9389e-18,-8.8471e-17,7.4355e-16,-1.6271e-15,1.0804e-16,8.1165e-16,-1.484e-15,9.9042e-17,0,0,0,0,-1.8804e-17,3.862e-17,-4.9467e-18,0,-2.7756e-17,-2.7756e-17,3.4694e-18,-4.4448e-16,-4.0279e-16,0,0,0,0,7.4355e-16,-1.6271e-15,1.0804e-16,0,-1.3878e-15,0,-4.1781e-20,-8.0243e-20,-3.3271e-18,-2.7756e-17,0,0
0.0950,-3,-3,-3,-1.324e-19,-1.9659e-19,-4.5333e-18,5.421e-20,-3.7947e-19,-3.9031e-18,4.4916e-17,-5.3597e-17,3.3051e-18,0,0,0,-1.0003e-17,-1.1496e-17,-7.9797e-17,3.4694e-18,-6.9389e-18,-8.8471e-17,6.8164e-16,-1.6749e-15,1.1129e-16,7.4856e-16,-1.5766e-15,1.05e-16,0,0,0,0,-1.8804e-17,3.862e-17,-4.9467e-18,0,-2.7756e-17,-2.7756e-17,3.4694e-18,-5.24e-16,-4.391e-16,0,0,0,0,6.8164e-16,-1.6749e-15,1.1129e-16,0,-1.3878e-15,0,-4.1781e-20,-8.0243e-20,-3.3271e-18,-2.7756e-17,0,0
0.1000,-3,-3,-3,-1.8241e-19,-2.5407e-19,-4.9331e-18,5.421e-20,-4.8789e-19,-4.7163e-18,4.8325e-17,-6.1971e-17,3.8616e-18,0,0,0,-1.2623e-17,-1.3692e-17,-7.9797e-17,3.4694e-18,-5.2042e-18,-8.8471e-17,6.1973e-16,-1.7228e-15,1.1455e-16,6.8606e-16,-1.6475e-15,1.0961e-16,-1.5613e-17,-2.0817e-17,0,0,-1.5938e-17,4.2934e-17,-5.4752e-18,0,-2.7756e-17,0,-3.4694e-18,-6.0585e-16,-4.7244e-16,0,0,0,0,6.1973e-16,-1.7227e-15,1.1455e-16,-3.5527e-15,-2.1094e-15,0,-9.3497e-20,-1.4917e-19,-4.1335e-18,0,0,-1.3878e-17
0.1050,-3,-3,-3,-2.4552e-19,-3.2253e-19,-5.3261e-18,5.421e-20,-4.8789e-19,-4.7163e-18,5.1425e-17,-7.0585e-17,4.4351e-18,0,0,0,-1.5652e-17,-1.6054e-17,-7.9797e-17,3.4694e-18,-5.2042e-18,-8.8471e-17,5.5782e-16,-1.7228e-15,1.1129e-16,6.2385e-16,-1.6839e-15,1.1045e-16,-1.5613e-17,-2.0817e-17,0,0,-1.5938e-17,4.2934e-17,-5.4752e-18,-8.8818e-16,-2.7756e-17,5.5511e-17,-3.4694e-18,-6.9005e-16,-5.0277e-16,-1.7764e-15,0,0,-1.7764e-15,5.5782e-16,-1.7228e-15,1.1129e-16,-3.5527e-15,-2.1094e-15,0,-9.3497e-20,-1.4917e-19,-4.1335e-18,0,0,-1.3878e-17
0.1100,-3,-3,-3,-3.2378e-19,-4.028e-19,-5.7192e-18,1.0842e-19,-5.421e-19,-5.5294e-18,5.4213e-17,-7.9199e-17,4.9907e-18,0,0,0,-1.9102e-17,-1.8567e-17,-8.8471e-17,5.2042e-18,-1.7347e-18,-8.8471e-17,4.9591e-16,-1.627e-15,1.0804e-16,5.6173e-16,-1.6562e-15,1.0931e-16,-1.5613e-17,-2.0817e-17,0,0,-1.301e-17,4.3151e-17,-5.4617e-18,0,-2.7756e-17,0,-3.4694e-18,-7.7424e-16,-5.2996e-16,0,0,0,0,4.9591e-16,-1.6271e-15,1.0804e-16,-3.5527e-15,-2.1094e-15,0,-1.8241e-19,-2.5407e-19,-4.9331e-18,0,0,0
