time,out_motors,out_plant,out_kalman,out_mpc,out_sensors,out_mahony,out_lqi,up_kalman,up_mpc,up_lqi,up_mocap,up_motors,up_plant
0.2500,0.00,0.00,0.00,-1.00,1.00,1.00,0.00,3.00,-1.00,0.00,1.00,0.00,1.00
0.2550,0.00,1.00,-1.00,-1.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.2600,1.00,2.00,1.00,-1.00,3.00,2.00,0.00,3.00,-1.00,0.00,1.00,1.00,0.00
0.2650,1.00,2.00,-1.00,-1.00,2.00,2.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.2700,0.00,1.00,0.00,-1.00,1.00,1.00,0.00,12.00,-1.00,1.00,0.00,0.00,1.00
0.2750,1.00,2.00,-1.00,-1.00,2.00,3.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.2800,0.00,1.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.2850,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.2900,0.00,0.00,1.00,-1.00,1.00,0.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.2950,1.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.3000,0.00,1.00,0.00,2867.00,2.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00
0.3050,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.3100,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,1.00,0.00,0.00,0.00
0.3150,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.3200,0.00,1.00,0.00,-1.00,1.00,1.00,0.00,3.00,-1.00,0.00,1.00,0.00,1.00
0.3250,0.00,1.00,-1.00,-1.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.3300,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,3.00,-1.00,0.00,0.00,0.00,1.00
0.3350,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.3400,0.00,1.00,0.00,-1.00,1.00,0.00,0.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.3450,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.3500,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.3550,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.3600,0.00,1.00,0.00,-1.00,2.00,1.00,1.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.3650,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.3700,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.3750,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.3800,0.00,0.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.3850,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.3900,0.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.3950,1.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.4000,0.00,0.00,0.00,2927.00,2.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00
0.4050,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.4100,0.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.4150,0.00,1.00,-1.00,-1.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.4200,0.00,0.00,0.00,-1.00,1.00,1.00,0.00,3.00,-1.00,0.00,0.00,1.00,0.00
0.4250,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.4300,0.00,0.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.4350,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.4400,0.00,1.00,1.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.4450,1.00,1.00,-1.00,-1.00,2.00,3.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.4500,0.00,1.00,1.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.4550,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.4600,1.00,1.00,1.00,-1.00,1.00,0.00,0.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.4650,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.4700,0.00,1.00,1.00,-1.00,1.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.4750,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.4800,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.4850,1.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.4900,0.00,1.00,1.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.4950,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.5000,1.00,1.00,0.00,3204.00,4.00,2.00,0.00,3.00,0.00,1.00,0.00,1.00,1.00
0.5050,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.5100,1.00,1.00,1.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,1.00
0.5150,1.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.5200,0.00,1.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.5250,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.5300,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.5350,0.00,1.00,-1.00,-1.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.5400,0.00,0.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.5450,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.5500,1.00,1.00,0.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.5550,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.5600,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.5650,0.00,1.00,-1.00,-1.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.5700,0.00,1.00,1.00,-1.00,1.00,1.00,1.00,3.00,-1.00,0.00,1.00,0.00,1.00
0.5750,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.5800,1.00,1.00,0.00,-1.00,2.00,1.00,1.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.5850,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.5900,0.00,1.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.5950,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.6000,0.00,1.00,1.00,2926.00,2.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00
0.6050,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.6100,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.6150,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.6200,1.00,1.00,0.00,-1.00,2.00,1.00,1.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.6250,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.6300,1.00,1.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.6350,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.6400,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.6450,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.6500,0.00,1.00,1.00,-1.00,1.00,1.00,1.00,2.00,-1.00,1.00,0.00,0.00,0.00
0.6550,1.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.6600,0.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.6650,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.6700,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.6750,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.6800,1.00,2.00,0.00,-1.00,3.00,1.00,0.00,3.00,-1.00,1.00,0.00,0.00,1.00
0.6850,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.6900,0.00,1.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,0.00,0.00
0.6950,1.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7000,1.00,1.00,0.00,2846.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00
0.7050,1.00,1.00,-1.00,-1.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.7100,1.00,1.00,1.00,-1.00,2.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.7150,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7200,0.00,1.00,1.00,-1.00,2.00,1.00,0.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.7250,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7300,0.00,0.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.7350,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7400,0.00,1.00,1.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.7450,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7500,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.7550,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.7600,0.00,1.00,1.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.7650,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7700,1.00,1.00,0.00,-1.00,2.00,1.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.7750,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.7800,1.00,1.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.7850,1.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.7900,0.00,0.00,0.00,-1.00,1.00,0.00,1.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.7950,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.8000,1.00,1.00,0.00,4250.00,3.00,2.00,1.00,2.00,1.00,0.00,0.00,1.00,0.00
0.8050,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.8100,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.8150,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.8200,0.00,1.00,1.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.8250,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.8300,1.00,1.00,1.00,-1.00,1.00,1.00,0.00,3.00,-1.00,0.00,1.00,0.00,0.00
0.8350,1.00,2.00,-1.00,-1.00,2.00,2.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.8400,0.00,1.00,0.00,-1.00,3.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.8450,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.8500,1.00,1.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.8550,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.8600,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.8650,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.8700,1.00,1.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.8750,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.8800,0.00,1.00,1.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.8850,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.8900,1.00,1.00,0.00,-1.00,2.00,1.00,1.00,1.00,-1.00,0.00,0.00,0.00,0.00
0.8950,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.9000,1.00,1.00,0.00,4535.00,4.00,2.00,1.00,3.00,0.00,1.00,0.00,1.00,0.00
0.9050,1.00,2.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.9100,0.00,0.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.9150,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.9200,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.9250,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.9300,0.00,1.00,1.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.9350,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.9400,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.9450,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.9500,0.00,1.00,0.00,-1.00,2.00,0.00,0.00,2.00,-1.00,0.00,0.00,0.00,1.00
0.9550,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.9600,0.00,1.00,1.00,-1.00,1.00,0.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.9650,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.9700,0.00,0.00,0.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.9750,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
0.9800,0.00,1.00,1.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
0.9850,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.9900,0.00,1.00,1.00,-1.00,1.00,1.00,1.00,2.00,-1.00,0.00,1.00,0.00,1.00
0.9950,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
1.0000,0.00,1.00,1.00,4300.00,2.00,1.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00
1.0050,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
1.0100,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,3.00,-1.00,0.00,1.00,0.00,1.00
1.0150,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
1.0200,0.00,1.00,0.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
1.0250,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
1.0300,0.00,0.00,0.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
